customer_id,age,gender,marital_status,num_children,education_level,region,employment_status,owns_home,has_auto_loan,annual_income,credit_score,num_credit_cards,credit_limit,tenure,card_type,num_transactions,avg_transaction_value,online_shopping_freq,reward_points_balance,travel_frequency,utility_payment_count,monthly_spend
75570383,77,female,married,2,high school,midwest,student,1,0,19000,679,9,1600,11,platinum,5,102,2.0,2103,0,2.0,573.78
77915507,52,male,married,0,high school,west,employed,1,1,44000,635,9,1600,1,standard,12,39,4.0,4483,0,1.0,103.15
31958910,48,female,married,0,bachelors,west,student,1,0,27000,671,9,2500,7,platinum,9,26,5.0,2383,1,4.0,297.28
76868487,67,female,married,3,high school,west,student,1,0,40000,704,9,2900,7,gold,6,41,5.0,3263,1,1.0,353.81
69435006,21,female,single,0,bachelors,west,employed,0,0,28000,697,9,2300,8,gold,8,44,4.0,2415,0,,392.83
77839435,26,female,single,0,bachelors,midwest,unemployed,0,1,32000,779,9,3000,13,platinum,7,15,11.0,2717,4,2.0,729.68
48477656,69,male,married,0,bachelors,midwest,employed,1,0,23000,669,9,1600,20,standard,8,23,6.0,3072,1,2.0,232.55
35650259,74,male,married,1,bachelors,south,employed,1,1,23000,719,9,1700,2,platinum,9,23,5.0,3444,2,5.0,343.17
52835676,61,male,married,1,bachelors,midwest,employed,1,0,12000,666,9,800,11,standard,6,27,6.0,1553,1,2.0,278.63
94747661,46,male,married,0,bachelors,west,employed,0,0,194000,635,9,7000,15,gold,23,67,14.0,12968,6,3.0,100.0
86721650,56,male,married,2,bachelors,midwest,employed,0,0,44000,743,9,2600,18,gold,14,19,7.0,4640,2,4.0,601.09
13990016,22,male,single,1,bachelors,northeast,unemployed,1,1,33000,645,9,1400,11,standard,9,22,4.0,2125,1,5.0,241.79
52181606,61,male,married,1,bachelors,midwest,employed,1,0,164000,730,9,7000,1,gold,16,24,8.0,10875,4,4.0,579.11
55031862,52,male,married,1,graduate,northeast,employed,1,0,24000,654,9,1700,2,gold,7,38,2.0,3103,5,1.0,100.0
63458545,80,male,married,1,high school,northeast,employed,1,1,15000,648,6,700,11,standard,4,19,3.0,2314,2,2.0,132.64
70077133,37,female,single,1,bachelors,west,employed,0,0,41000,713,9,1700,20,standard,11,25,4.0,3933,2,2.0,280.2
94797989,31,female,married,0,graduate,northeast,employed,1,1,45000,581,9,1600,6,standard,10,30,6.0,3888,2,2.0,100.0
11861113,25,female,single,0,bachelors,south,employed,1,0,34000,637,9,1400,10,standard,12,13,7.0,3831,0,0.0,130.48
71300790,53,female,married,2,graduate,south,employed,0,1,105000,609,9,3400,12,standard,19,53,10.0,7211,1,4.0,100.0
56912274,40,male,single,1,bachelors,west,employed,1,1,45000,674,9,2100,18,standard,16,32,3.0,5763,5,1.0,100.0
69361118,63,male,married,0,high school,south,self-employed,1,0,76000,677,9,2800,19,standard,10,53,7.0,5319,1,1.0,538.62
58527003,23,male,single,0,bachelors,west,unemployed,1,1,35000,638,9,1800,11,standard,9,47,10.0,3263,0,1.0,100.0
78621389,62,male,married,0,bachelors,northeast,student,0,0,13000,619,9,900,19,gold,7,42,4.0,2271,0,1.0,250.92
95531820,37,male,married,1,bachelors,midwest,employed,0,0,14000,693,9,1400,13,platinum,11,16,4.0,2391,1,0.0,134.59
64980163,59,female,married,0,bachelors,northeast,employed,1,1,15000,638,9,600,6,gold,8,28,4.0,1289,0,2.0,100.0
51770731,71,female,married,0,bachelors,south,employed,0,0,140000,651,9,7800,2,gold,11,48,16.0,8625,2,2.0,1228.82
63600010,44,female,married,1,high school,northeast,employed,1,0,117000,645,9,3600,10,gold,8,28,7.0,5682,2,2.0,100.0
29680959,57,male,married,2,bachelors,south,employed,0,0,22000,638,9,1000,8,standard,8,42,10.0,3129,2,4.0,100.0
77254126,25,male,single,1,high school,south,employed,0,0,84000,728,9,5000,16,platinum,15,118,6.0,7139,3,3.0,879.47
64268951,52,female,married,1,bachelors,northeast,employed,0,0,25000,616,9,900,18,standard,13,14,5.0,3218,0,0.0,248.5
95460983,20,male,single,0,bachelors,south,employed,0,1,77000,681,9,4500,3,platinum,9,19,6.0,5693,3,1.0,966.87
64345143,40,female,married,1,bachelors,west,employed,0,1,23000,739,9,1200,2,gold,6,48,10.0,1988,0,2.0,359.28
52560459,18,male,single,0,graduate,northeast,employed,1,0,31000,643,9,1100,12,standard,11,54,7.0,3993,3,2.0,100.0
67522325,55,female,married,0,bachelors,midwest,employed,1,1,16000,647,9,800,15,standard,10,38,4.0,2895,1,1.0,100.59
47501584,30,female,married,1,bachelors,south,employed,0,0,52000,644,9,1900,9,standard,11,39,9.0,5263,6,4.0,100.0
87983467,29,male,single,3,bachelors,northeast,employed,1,0,22000,641,9,1200,14,gold,9,80,2.0,3484,3,2.0,100.0
87404131,33,male,married,2,bachelors,midwest,employed,1,0,32000,634,9,1600,11,standard,11,33,3.0,3687,1,5.0,272.42
75471595,36,male,married,1,high school,northeast,self-employed,1,0,41000,669,9,2900,0,gold,10,81,3.0,4198,0,3.0,385.88
42131372,74,female,married,0,high school,west,unemployed,0,0,29000,671,9,1600,4,standard,9,36,,3702,2,2.0,100.0
37786340,52,male,married,1,bachelors,south,employed,1,1,27000,756,9,1700,13,gold,10,34,4.0,3309,3,3.0,445.08
26532649,47,male,married,0,bachelors,west,student,0,1,24000,616,9,1400,7,standard,6,27,5.0,2482,2,0.0,100.0
16428210,70,male,married,3,bachelors,northeast,employed,1,0,24000,750,9,2100,0,platinum,7,71,6.0,3387,1,2.0,412.28
34168928,45,female,married,1,high school,northeast,unemployed,1,0,29000,618,9,1400,10,standard,11,61,4.0,3504,4,3.0,100.0
78990863,78,female,married,1,high school,south,unemployed,1,0,20000,684,9,1700,11,gold,9,15,3.0,3499,0,2.0,227.38
78006645,22,male,single,0,graduate,northeast,employed,1,0,15000,695,9,1800,0,platinum,6,13,3.0,1581,3,,479.47
12605714,18,female,single,0,graduate,midwest,employed,1,0,35000,622,9,1600,12,standard,13,35,5.0,3766,1,,100.0
51442746,32,female,single,1,bachelors,northeast,employed,0,0,25000,743,9,1700,0,gold,8,60,3.0,3501,1,0.0,328.49
48588939,19,male,single,0,bachelors,west,employed,1,1,148000,591,9,2500,2,standard,23,22,10.0,10317,3,1.0,100.0
46824260,76,female,married,3,bachelors,midwest,unemployed,0,0,26000,713,9,2200,17,gold,6,27,7.0,2710,1,1.0,244.74
48441046,56,female,married,2,bachelors,west,employed,1,0,26000,662,9,2500,0,platinum,8,14,8.0,3066,5,2.0,560.87
96319123,80,female,married,3,bachelors,northeast,unemployed,0,0,17000,615,9,700,19,standard,6,33,,2917,4,0.0,100.0
53707476,79,female,married,0,high school,midwest,employed,1,1,124000,748,9,5300,10,platinum,14,26,,8826,1,5.0,1349.93
61720637,21,male,single,1,high school,south,self-employed,1,1,24000,559,9,800,4,standard,8,62,2.0,2557,1,1.0,100.0
83555331,58,female,married,0,bachelors,south,employed,1,1,8000,621,8,500,15,standard,9,82,4.0,2291,1,5.0,100.0
89361748,26,female,married,0,high school,northeast,self-employed,0,0,103000,633,9,4900,1,gold,11,35,5.0,7412,3,3.0,315.25
77759109,77,female,married,1,high school,northeast,self-employed,0,0,71000,659,9,3900,14,gold,11,21,4.0,5136,0,2.0,680.51
44371592,67,male,married,1,high school,west,employed,0,0,56000,701,9,3500,8,platinum,11,61,4.0,5263,6,4.0,428.94
26610817,27,male,married,0,bachelors,south,employed,1,0,106000,753,9,7600,1,platinum,9,26,11.0,7972,6,2.0,1935.7
13069781,30,male,single,3,bachelors,south,employed,1,0,55000,632,9,1800,11,standard,9,31,3.0,4188,1,2.0,198.95
74898724,66,female,married,3,bachelors,northeast,employed,1,1,193000,779,9,12200,15,platinum,20,37,7.0,13733,7,2.0,3520.63
97917718,46,male,married,1,graduate,south,employed,0,0,23000,662,9,1300,6,standard,13,49,7.0,2730,1,2.0,100.0
94674668,52,female,married,1,bachelors,northeast,employed,1,1,156000,641,9,4500,18,gold,18,32,7.0,10604,4,2.0,100.0
98344221,45,female,married,2,bachelors,south,self-employed,1,1,24000,708,9,1900,20,platinum,7,16,,3198,4,3.0,595.31
95493941,38,male,single,0,bachelors,midwest,employed,1,1,61000,670,9,3300,11,standard,12,19,7.0,5583,2,3.0,527.95
20408310,53,female,married,1,bachelors,south,employed,1,1,22000,585,9,600,19,standard,6,28,4.0,1860,2,4.0,100.0
35204750,64,female,married,1,graduate,west,unemployed,1,1,59000,730,9,2500,6,standard,13,37,12.0,4589,1,3.0,100.0
32991669,62,female,married,0,high school,south,employed,0,1,24000,680,9,1700,10,gold,12,35,6.0,2958,1,0.0,401.8
15451514,64,female,married,0,bachelors,south,employed,1,0,81000,666,9,3100,10,standard,10,73,4.0,5953,2,,100.0
99875046,73,female,married,0,bachelors,midwest,employed,0,1,110000,700,9,8100,20,platinum,14,48,7.0,7655,4,0.0,2162.23
34442521,28,male,married,0,bachelors,south,employed,0,1,12000,663,9,1500,20,platinum,5,43,8.0,2026,2,4.0,305.4
22536188,30,male,married,0,graduate,midwest,student,0,0,8000,647,8,600,15,standard,7,42,3.0,1826,0,1.0,100.0
16752709,62,male,married,2,high school,midwest,employed,0,1,39000,666,9,3100,18,platinum,9,28,3.0,3044,0,3.0,686.5
41318787,69,male,married,2,high school,northeast,unemployed,0,0,31000,656,9,1400,17,standard,10,38,4.0,2689,5,2.0,100.0
17058618,49,male,single,0,bachelors,west,employed,0,1,48000,671,9,2000,14,standard,17,74,8.0,5055,0,3.0,100.0
30606165,32,female,single,1,high school,west,employed,1,0,16000,689,9,1300,18,gold,5,61,3.0,1192,2,2.0,100.0
90260929,73,female,married,0,bachelors,northeast,employed,1,0,85000,634,9,3800,11,platinum,10,45,11.0,6762,4,3.0,357.33
40797781,69,male,married,2,bachelors,south,self-employed,1,1,62000,761,9,4000,5,platinum,13,33,5.0,5160,4,5.0,1182.91
66533040,57,female,married,3,graduate,midwest,self-employed,1,1,56000,618,9,1800,11,standard,4,33,5.0,3574,0,3.0,100.0
83798402,25,male,single,1,bachelors,northeast,employed,1,1,28000,652,9,1100,0,standard,10,63,3.0,3769,5,4.0,100.0
57786859,64,female,married,0,graduate,northeast,employed,0,1,19000,621,9,800,9,standard,5,45,8.0,1855,0,0.0,100.0
60845249,22,female,single,0,high school,west,self-employed,1,1,67000,684,9,4200,6,platinum,14,35,8.0,6085,3,,873.16
25516818,65,female,married,2,bachelors,south,employed,0,0,60000,684,9,3300,3,gold,18,66,5.0,5658,5,2.0,100.0
28467373,74,male,married,1,high school,south,employed,0,1,32000,632,9,1100,2,standard,14,23,,4251,1,1.0,153.57
60197659,33,male,single,0,bachelors,west,employed,1,0,101000,593,9,2800,8,standard,14,14,13.0,6854,1,3.0,100.0
46128578,52,female,married,1,bachelors,midwest,employed,1,0,34000,582,9,1000,19,standard,3,58,8.0,1817,1,4.0,100.0
73079625,39,male,married,2,high school,midwest,employed,1,1,122000,622,9,2900,5,standard,16,28,5.0,8899,3,6.0,100.0
65184780,28,female,single,2,bachelors,northeast,employed,1,1,110000,670,9,4300,3,standard,9,24,7.0,7640,3,0.0,100.0
63074353,64,female,married,1,bachelors,northeast,employed,0,1,174000,737,9,4900,4,gold,21,13,5.0,11307,2,5.0,486.12
36445132,75,female,married,2,bachelors,northeast,self-employed,1,1,79000,679,9,4600,20,gold,10,9,9.0,5750,3,1.0,851.45
32670859,70,female,married,2,high school,south,unemployed,0,0,25000,684,9,1200,20,standard,6,20,4.0,2417,3,1.0,292.69
33261871,50,male,married,2,high school,west,unemployed,0,0,31000,655,9,1600,7,standard,11,18,3.0,3340,0,0.0,331.9
12832356,56,female,married,0,bachelors,northeast,self-employed,1,1,48000,621,9,3300,0,platinum,8,34,14.0,4181,2,0.0,568.78
39048050,20,male,single,0,bachelors,northeast,self-employed,0,0,96000,679,9,3600,12,standard,12,25,7.0,7285,5,2.0,100.0
99269359,73,male,married,1,high school,midwest,employed,0,0,16000,697,9,1100,4,standard,9,21,0.0,2968,2,4.0,198.28
82922399,21,female,single,1,high school,west,employed,0,0,20000,655,9,1600,18,gold,9,23,7.0,3006,2,2.0,345.24
16983642,21,female,single,0,high school,northeast,employed,0,0,37000,698,9,2300,15,platinum,9,24,5.0,3836,3,,454.89
64173363,61,female,married,1,bachelors,midwest,employed,1,1,80000,723,9,5100,1,platinum,11,51,5.0,5482,2,0.0,1303.96
16749387,28,male,single,3,graduate,midwest,employed,0,1,45000,625,9,2000,12,gold,9,22,4.0,3592,2,3.0,100.0
22569697,48,male,married,2,bachelors,northeast,unemployed,0,0,20000,677,9,900,20,standard,10,30,3.0,2909,2,3.0,100.0
61702023,61,female,married,1,bachelors,midwest,student,1,0,150000,748,9,9600,9,platinum,20,22,11.0,11114,5,3.0,2995.56
76328458,78,male,married,0,bachelors,south,employed,1,1,56000,705,9,2700,9,standard,9,39,10.0,4230,1,5.0,657.85
56996264,26,male,married,4,graduate,midwest,unemployed,0,1,14000,650,9,1200,15,gold,8,53,5.0,2867,3,1.0,100.0
