customer_id,age,gender,marital_status,num_children,education_level,region,employment_status,owns_home,has_auto_loan,annual_income,credit_score,num_credit_cards,credit_limit,tenure,card_type,num_transactions,avg_transaction_value,online_shopping_freq,reward_points_balance,travel_frequency,utility_payment_count
20451981,68,female,married,2,bachelors,west,employed,0,1,175000,706,9,10600,13,platinum,14,56,6.0,11761,5,8.0
23251656,37,male,married,2,high school,northeast,employed,1,1,78000,662,9,5400,19,platinum,13,21,8.0,5387,2,2.0
64082260,65,female,married,0,bachelors,northeast,employed,0,0,40000,662,9,2100,2,standard,7,42,13.0,3459,1,2.0
82505923,33,female,married,5,bachelors,west,employed,0,1,24000,619,9,1300,3,standard,3,30,6.0,1888,0,4.0
89981994,23,male,single,0,bachelors,northeast,employed,1,1,90000,702,9,2900,5,gold,12,28,6.0,6641,2,3.0
64973937,57,male,married,0,bachelors,south,employed,1,1,16000,681,5,1300,6,gold,7,81,6.0,979,0,5.0
27610278,52,male,married,0,bachelors,south,employed,0,0,29000,665,9,1300,17,standard,8,26,2.0,2598,0,
35883083,38,male,married,2,graduate,south,employed,0,0,90000,675,9,2800,13,standard,13,30,3.0,7361,4,2.0
20490020,52,male,married,1,graduate,midwest,employed,0,1,282000,664,9,9300,7,standard,24,25,16.0,18456,4,14.0
54517670,57,female,married,2,bachelors,northeast,employed,0,0,51000,696,9,2200,11,standard,17,36,4.0,4645,2,4.0
94359232,25,male,married,2,bachelors,west,student,0,0,22000,597,9,1100,15,standard,5,62,4.0,2717,0,3.0
17326886,64,male,married,0,high school,south,employed,1,0,78000,664,9,3000,20,gold,11,18,9.0,5928,3,1.0
86594167,55,female,married,0,bachelors,midwest,self-employed,1,1,369000,730,9,15700,20,platinum,25,26,17.0,22757,9,8.0
94873255,63,male,married,0,bachelors,west,employed,1,0,14000,618,9,800,11,standard,2,27,4.0,2216,1,1.0
62944765,37,female,married,1,graduate,south,self-employed,0,1,132000,701,9,7000,12,platinum,13,24,9.0,8739,3,5.0
95482882,44,male,married,1,bachelors,south,employed,1,1,58000,669,9,3200,17,standard,22,46,11.0,6699,4,1.0
76963069,69,male,married,6,bachelors,west,employed,1,1,241000,724,9,12300,9,platinum,24,18,13.0,15767,5,8.0
25112257,35,female,married,1,graduate,west,employed,1,1,407000,784,9,20200,16,platinum,32,35,9.0,24863,8,5.0
69916855,59,female,married,0,graduate,northeast,employed,1,0,121000,750,9,5600,16,platinum,17,34,9.0,9046,3,3.0
71088357,70,male,married,1,bachelors,northeast,employed,0,0,19000,664,9,1300,20,gold,7,10,6.0,2935,0,2.0
50168897,19,female,single,0,bachelors,midwest,employed,0,0,24000,571,9,800,16,standard,6,56,5.0,2789,1,1.0
67403679,21,male,single,0,,south,unemployed,1,1,17000,653,9,1200,3,gold,5,23,7.0,3172,4,1.0
55474643,63,female,married,2,graduate,northeast,employed,0,1,95000,755,9,6600,0,platinum,12,63,11.0,6635,4,3.0
54852556,56,male,married,3,bachelors,midwest,employed,1,0,51000,760,9,3000,19,standard,9,54,7.0,4443,1,2.0
63667529,46,female,married,1,bachelors,south,employed,0,0,12000,617,9,600,12,standard,3,29,2.0,1302,0,
48025998,29,male,single,1,bachelors,west,employed,1,1,74000,677,9,4500,5,platinum,16,14,10.0,6559,5,3.0
93351324,77,male,married,0,bachelors,south,employed,1,0,28000,711,9,2700,17,gold,8,35,7.0,3431,5,3.0
18887996,67,male,married,1,bachelors,west,employed,0,1,31000,658,9,1700,11,platinum,12,34,10.0,3605,0,4.0
49568688,57,male,married,3,bachelors,south,unemployed,1,1,45000,739,9,3700,19,platinum,12,56,5.0,4296,3,1.0
92911099,76,male,married,1,bachelors,west,employed,1,0,46000,680,9,2100,12,standard,10,33,8.0,3863,1,3.0
11717924,20,male,single,0,bachelors,midwest,employed,0,0,20000,663,9,1100,11,standard,11,70,7.0,3375,0,2.0
62085471,59,female,married,0,,west,employed,1,0,47000,694,9,2600,11,gold,8,40,8.0,4339,4,1.0
78336143,41,female,married,1,bachelors,northeast,employed,0,1,20000,600,9,1400,10,gold,12,20,1.0,3841,1,1.0
13087851,25,male,single,1,bachelors,south,employed,1,1,53000,700,9,2700,20,standard,2,27,5.0,3785,1,4.0
33506258,72,female,married,1,high school,northeast,employed,0,1,54000,710,9,3500,3,gold,12,15,1.0,4131,3,4.0
61356554,42,male,married,5,bachelors,midwest,unemployed,1,1,13000,554,9,700,14,standard,8,35,7.0,2648,0,2.0
11967368,36,male,single,0,bachelors,midwest,employed,0,0,21000,648,9,1000,12,standard,5,16,11.0,1580,1,1.0
